FullSampleName,cultivar,ACCID,country,ploidy,species,use,snp_calling_keep,species_keep,heterozygosity_keep,ibd_species_keep,faststructure_keep,pca_keep,domestica_keep,domestica_clones_keep,top_eight,colour_pheno,firm_pheno,size_pheno,ACP,ACNO
MalGBS_P11_E06_17456,Ottawa_5210,17456,NA,NA,domestica,NA,1,1,1,1,1,1,1,1,0,red,soft,small,PI,589476
MalGBS_P11_F06_17196,Reinette_Clochard,17196,NA,2x,domestica,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,PI,589444
MalGBS_P11_G06_172619,Merton_Delight,172619,United Kingdom,NA,domestica,Other,0,0,0,0,0,0,0,0,0,NA,NA,NA,PI,205461
MalGBS_P11_H06_17352,F_14_A15,17352,NA,NA,domestica,NA,1,1,1,1,1,1,1,1,0,red,soft,large,PI,589462
MalGBS_P11_A07_190060,Alfa_68,190060,NA,3x,domestica,NA,1,1,0,0,0,0,0,0,0,NA,NA,NA,PI,247442
MalGBS_P11_B07_134073,Pigeonnet_Rouge,134073,NA,2x,domestica,NA,1,1,1,1,1,1,1,1,0,red,soft,small,PI,132273
MalGBS_P11_C07_20520,PRI_1302-1,20520,NA,2x,hybrid,NA,1,0,0,0,0,0,0,0,0,NA,NA,NA,PI,589817
MalGBS_P11_D07_14573,Delistein,14573,NA,3x,domestica,NA,1,1,1,1,1,1,1,1,0,NA,NA,NA,PI,589315
MalGBS_P11_E07_139557,Cherry_Pearmain,139557,NA,NA,domestica,Other,1,1,1,1,1,1,1,1,0,red,soft,large,PI,161831
MalGBS_P11_F07_161407,Vogelcalville,161407,Netherlands,NA,domestica,NA,1,1,1,1,1,1,1,1,0,green,firm,large,PI,188525
MalGBS_P11_G07_22047,Red_Dijmanszoet,22047,Netherlands,NA,domestica,NA,1,1,1,1,1,1,1,1,0,red,soft,large,PI,589923
MalGBS_P11_H07_134072,Pigeonnet_Blanc,134072,NA,2x,domestica,NA,1,1,1,1,1,1,1,1,0,green,firm,large,PI,132272
