PC	eigenvalue	proportion of total	cumulative proportion
525	2.59987	4.5653E-4	0.86704
526	2.59503	4.5568E-4	0.86749
527	2.59443	4.5558E-4	0.86795
528	2.5891	4.5464E-4	0.8684
529	2.58451	4.5383E-4	0.86886
530	2.57453	4.5208E-4	0.86931
531	2.56808	4.5095E-4	0.86976
532	2.56517	4.5044E-4	0.87021
533	2.55697	4.49E-4	0.87066
534	2.55196	4.4812E-4	0.87111
535	2.54556	4.4699E-4	0.87155
536	2.54344	4.4662E-4	0.872
537	2.5375	4.4558E-4	0.87245
538	2.53268	4.4473E-4	0.87289
539	2.52832	4.4397E-4	0.87333
540	2.52448	4.4329E-4	0.87378
541	2.52071	4.4263E-4	0.87422
542	2.51768	4.421E-4	0.87466
543	2.51262	4.4121E-4	0.8751
544	2.50877	4.4053E-4	0.87554
545	2.50411	4.3972E-4	0.87598
546	2.50182	4.3931E-4	0.87642
547	2.49597	4.3829E-4	0.87686
548	2.48955	4.3716E-4	0.8773
549	2.48651	4.3663E-4	0.87773
550	2.48126	4.357E-4	0.87817
551	2.47958	4.3541E-4	0.87861
552	2.47778	4.3509E-4	0.87904
553	2.46441	4.3274E-4	0.87947
554	2.46155	4.3224E-4	0.87991
555	2.46045	4.3205E-4	0.88034
556	2.45269	4.3069E-4	0.88077
557	2.44582	4.2948E-4	0.8812
558	2.44391	4.2915E-4	0.88163
559	2.44337	4.2905E-4	0.88206
560	2.43736	4.2799E-4	0.88248
561	2.43239	4.2712E-4	0.88291
562	2.43035	4.2676E-4	0.88334
563	2.42586	4.2598E-4	0.88376
564	2.42484	4.258E-4	0.88419
565	2.41874	4.2473E-4	0.88461
566	2.41447	4.2398E-4	0.88504
567	2.40757	4.2276E-4	0.88546
568	2.40439	4.2221E-4	0.88588
569	2.4007	4.2156E-4	0.88631
570	2.39565	4.2067E-4	0.88673
571	2.39263	4.2014E-4	0.88715
572	2.39027	4.1973E-4	0.88757
573	2.38324	4.1849E-4	0.88798
574	2.38059	4.1803E-4	0.8884
575	2.37891	4.1773E-4	0.88882
576	2.3737	4.1682E-4	0.88924
577	2.36781	4.1578E-4	0.88965
578	2.36382	4.1508E-4	0.89007
579	2.36283	4.1491E-4	0.89048
580	2.35995	4.144E-4	0.8909
581	2.34959	4.1258E-4	0.89131
582	2.34753	4.1222E-4	0.89172
583	2.34289	4.1141E-4	0.89213
584	2.33486	4.1E-4	0.89254
585	2.33394	4.0983E-4	0.89295
586	2.3325	4.0958E-4	0.89336
587	2.32871	4.0892E-4	0.89377
588	2.32574	4.084E-4	0.89418
589	2.32166	4.0768E-4	0.89459
590	2.31781	4.07E-4	0.89499
591	2.3104	4.057E-4	0.8954
592	2.30318	4.0443E-4	0.8958
593	2.30083	4.0402E-4	0.89621
594	2.2976	4.0345E-4	0.89661
595	2.28824	4.0181E-4	0.89701
596	2.2859	4.014E-4	0.89742
597	2.28057	4.0046E-4	0.89782
598	2.27804	4.0002E-4	0.89822
599	2.2759	3.9964E-4	0.89862
600	2.26969	3.9855E-4	0.89901
601	2.26681	3.9805E-4	0.89941
602	2.26556	3.9783E-4	0.89981
603	2.25856	3.966E-4	0.90021
604	2.25508	3.9599E-4	0.9006
605	2.25363	3.9573E-4	0.901
606	2.24999	3.9509E-4	0.90139
607	2.24452	3.9413E-4	0.90179
608	2.2426	3.938E-4	0.90218
609	2.23785	3.9296E-4	0.90257
610	2.23222	3.9197E-4	0.90297
611	2.23064	3.917E-4	0.90336
612	2.22483	3.9067E-4	0.90375
613	2.22292	3.9034E-4	0.90414
614	2.22027	3.8987E-4	0.90453
615	2.2172	3.8933E-4	0.90492
616	2.21347	3.8868E-4	0.90531
617	2.20785	3.8769E-4	0.90569
618	2.20665	3.8748E-4	0.90608
619	2.20597	3.8736E-4	0.90647
620	2.203	3.8684E-4	0.90686
621	2.19965	3.8625E-4	0.90724
622	2.19458	3.8536E-4	0.90763
623	2.18569	3.838E-4	0.90801
624	2.1821	3.8317E-4	0.90839
625	2.18072	3.8293E-4	0.90878
626	2.17971	3.8275E-4	0.90916
627	2.17293	3.8156E-4	0.90954
628	2.17118	3.8125E-4	0.90992
629	2.16807	3.8071E-4	0.9103
630	2.16497	3.8016E-4	0.91068
631	2.16071	3.7942E-4	0.91106
632	2.15559	3.7852E-4	0.91144
633	2.15268	3.7801E-4	0.91182
634	2.15048	3.7762E-4	0.9122
635	2.14781	3.7715E-4	0.91257
636	2.14237	3.762E-4	0.91295
637	2.13668	3.752E-4	0.91333
638	2.13625	3.7512E-4	0.9137
639	2.1353	3.7495E-4	0.91408
640	2.13059	3.7413E-4	0.91445
641	2.1253	3.732E-4	0.91482
642	2.11946	3.7217E-4	0.9152
643	2.11528	3.7144E-4	0.91557
644	2.10918	3.7037E-4	0.91594
645	2.10698	3.6998E-4	0.91631
646	2.10209	3.6912E-4	0.91668
647	2.09978	3.6872E-4	0.91705
648	2.09819	3.6844E-4	0.91741
649	2.09379	3.6766E-4	0.91778
650	2.09191	3.6734E-4	0.91815
651	2.08572	3.6625E-4	0.91852
652	2.08505	3.6613E-4	0.91888
653	2.07984	3.6522E-4	0.91925
654	2.07861	3.65E-4	0.91961
655	2.07645	3.6462E-4	0.91998
656	2.07113	3.6369E-4	0.92034
657	2.06562	3.6272E-4	0.9207
658	2.0638	3.624E-4	0.92106
659	2.06009	3.6175E-4	0.92143
