apple_id,PLANTID,usda_ploidy,het,ploidy
400,Dubbele Zoete Aagt,NA,0.6224650316515674,3x
401,Arkansas Black,NA,0.379382889200561,2x
402,Crollon,2x,0.32096016072173156,2x
403,Black Ben Davis,NA,0.36799211553769756,2x
404,Alpinist,NA,0.35133239831697055,2x
405,Belle de Nordhaussen,2x,0.37165952769038324,2x
406,Bisbee Giant Winesap,3x,0.4945604791327092,3x
407,Dermen Black Stayman,NA,0.48802168227133164,3x
408,Clear Heart,2x,0.3430878283613206,2x
409,Bodil Neergaard,NA,0.34583601834653727,2x
410,Dufflin,2x,0.33789469694098023,2x
411,Aivania,NA,0.24298737727910238,2x
412,Edelborsdorfer,2x,0.31149312004851976,2x
413,Discovery,NA,0.3400174367916303,2x
414,Alnarp 2,NA,0.35812706114248893,2x
417,Early Harvest,NA,0.354971380918085,2x
418,Anisim,NA,0.36941359311625793,2x
419,Early Banta,NA,0.33667222622341836,2x
421,Coe's Golden Drop,NA,0.3407850346840529,2x
422,Brusnichnoe,NA,0.32006936810583375,2x
423,Chautauqua,NA,0.38035897047117245,2x
424,Bessemianka Michurina,NA,0.45595314809901066,3x
425,Berglander,NA,0.4822789128539479,3x
426,Claudius Herbstapfel,NA,0.3916075963761798,2x
427,Blair,NA,0.3260016678670255,2x
428,Brazil,NA,0.36232515825783707,2x
429,Belle de Crollon,2x,0.34434820514764414,2x
430,Devonshire Quarrenden,NA,0.34140100830142905,2x
431,Arkansas,3x,0.41486296956142676,2x
432,Earliblaze,NA,0.3967343921761874,2x
433,Captain Kidd,NA,0.37437928812402865,2x
434,Blaxtayman,NA,0.32888252909290777,2x
435,Bean,NA,0.3174917554300444,2x
436,American Forestier,2x,0.33195292066259807,2x
437,Boiken,NA,0.3589704711724347,2x
438,Beverly Hills,NA,0.2942553352791782,2x
439,Blenheim Orange,3x,0.6691842614002502,3x
440,Court Pendu,2x,0.35913157196467155,2x
441,Brown's Apple,2x,0.34643303892953264,2x
442,Charlamoff,NA,0.34470831280087944,2x
443,Blahova Ruzena,NA,0.3533129904097646,2x
