Taxa	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
249	-9.229289	8.471449	11.056476	-6.1509132	-8.433001	2.6475835	8.18534	0.3163793	-12.477642	2.8333137
250	33.35492	4.2910714	-7.79324	-18.328876	7.438773	4.107265	-8.559055	-1.1736528	0.63195807	-4.365147
251	31.601023	10.644892	-20.181955	40.216873	-22.680387	-21.852076	8.562505	1.7057883	7.9979205	-0.8055758
252	6.5642753	-16.042696	6.6469793	8.711295	15.507514	4.439681	1.8022654	13.970866	4.3038197	-16.277878
253	27.26877	2.2271872	-11.941749	-19.067282	0.959256	-1.6300759	-0.4558579	-1.2920222	1.7392207	0.2242075
254	10.376271	4.0314074	6.687101	10.668704	-2.6116006	2.8843913	6.567525	-0.75958025	-27.062674	13.68318
256	-5.213503	-0.20724078	-8.779802	-17.162073	-13.312891	2.1033092	4.8597093	11.079842	5.689918	6.321438
259	23.818695	2.5085094	1.05502	3.5599432	-5.7124987	-7.7232733	-0.21496643	0.6789583	9.434924	6.699794
260	39.135475	6.732406	-17.102762	-0.7535558	-6.0953393	-16.350534	1.154198	-0.11529916	2.8760476	-1.5098332
262	22.845745	-2.0178196	-3.2631228	-19.040287	4.2712526	-0.14936826	-0.97857076	2.7031853	-3.7241368	-0.14184284
264	-0.372029	30.078135	-4.304645	11.634789	3.3171318	-9.448712	-1.6247175	2.869809	1.7038137	6.100403
266	-12.44434	15.92309	-0.8722912	-10.6342745	-3.2236948	-1.4031214	4.07017	3.9040277	-1.2864177	9.556168
267	4.829588	6.800879	-7.9995384	19.84081	-2.6647449	-8.045687	2.230095	-0.10086063	-3.3043942	-1.9099717
271	38.069996	-0.4814363	-0.8851647	-17.43903	2.4006102	-20.67244	3.3531294	-5.157926	-1.621283	5.6006923
274	-4.9730244	17.907036	2.141785	5.035748	10.037685	6.0080304	-16.444683	14.257512	7.615621	12.122104
275	-0.64523464	10.031039	-2.1171637	5.9564385	-8.480604	7.968383	-0.15122905	3.7236702	1.3540946	3.3767369
276	4.5233135	11.816199	-0.14460187	-3.4083724	2.8428924	-0.70752233	-0.9178934	2.0769382	0.71220696	-2.1088307
278	-23.318583	19.106802	2.3966491	-10.041952	-8.660719	4.221408	0.90657663	5.389097	-6.6933036	-7.2783594
279	27.673666	-2.7786145	-9.564639	-3.6401138	6.7680907	3.383193	1.9992659	5.0324755	-6.0080013	-3.8180835
280	2.3156302	5.13339	2.634607	-11.035839	-2.4451761	-4.9766045	1.7103446	1.780191	3.826885	10.45252
283	10.812017	20.990719	-6.756828	-2.4394479	1.0109682	-7.799413	-0.4174321	-2.0923755	1.3917081	2.5926604
284	-1.2149638	14.944723	0.9786685	-11.45371	-3.9470263	-2.1324844	8.468226	2.5254152	-0.46923044	8.992242
285	21.702534	-1.0526336	-2.7347856	-7.036973	2.972507	-3.9460402	2.4686434	5.1745853	-5.5680413	-2.6383507
287	11.834188	2.5969071	3.0713687	0.015577866	-2.1374898	-9.757069	-2.6615744	0.57491314	5.289072	3.7617242
288	-7.21591	15.125882	12.239299	-1.7320467	-0.7403753	9.033561	-5.295102	-9.821443	1.8582969	-8.954531
289	13.060758	18.141495	-1.5316477	-5.5146303	3.0112834	-11.438954	8.61945	6.1570663	3.1642659	-2.1067166
290	-6.394632	20.259657	-3.785926	-1.8345994	5.001089	2.245187	-4.804628	14.5093775	3.1540875	13.89137
