apple_id,PLANTID,ploidy,usda_ploidy,het,release_year,acidity_17_harv,brix_17_harv,brix_acid_17_harv,weight_avg_17_harv,firmness_avg_17_harv,percent_firmness_avg_17,tpc,flowering_jul_16_harv,time_ripen_2017,date_jul_17_harv
560,Champlain,2x,NA,0.3296690800197112,NA,6.07080263168739,12.512134775761799,2.14510660377965,224.10682163251499,5.8782201020754998,NA,1.3742199119774601,155.59579744375301,91.487962784420304,246.99805611034299
510,Charden,3x,NA,0.48165346271938136,1971,7.1908763327693803,11.1716525307195,1.57410860068064,260.62052246306399,7.6543264729098404,-42.4508476926068,3.1353317300976702,153.85563179122099,127.587822265624,281.58425964243003
442,Charlamoff,2x,NA,0.34470831280087944,NA,6.4996116626494898,11.969517232538101,1.8710344533007499,166.25449436090801,5.1233820902260296,NA,5.1063033327782099,152.11317922574099,87.388473433913205,239.530720575413
387,Charles Ross,2x,NA,0.32871195178348056,1890,10.809369697161101,12.6201300244814,1.06252502691295,317.745218142841,10.1784312082274,NA,5.3545721016714802,156.89126212142,96.245111219254895,253.219279083808
1218,Charlotte,2x,NA,0.35918843106781395,1982,10.4279740918843,10.5506623812838,1.0621084231618101,212.20180171458901,6.4882025201565803,NA,NA,149.975256049085,75.657282719116594,225.66470722011999
423,Chautauqua,2x,NA,0.38035897047117245,1915,6.8336240839849998,11.743492398844699,1.7546113992626799,197.15491874835001,8.4885392984740005,-35.1290038677216,5.8348133835326204,156.94482069455901,128.889761685872,285.809524983144
522,Cheal's Golden Gem,2x,NA,0.19949963989234676,NA,NA,NA,NA,NA,NA,NA,NA,151.892552129249,NA,NA
262,Chehalis,2x,NA,0.33318486789735036,1965,7.1293491780682103,13.0030512787347,1.8281522330514099,242.98293216336,4.7091529930934497,NA,NA,153.95725870870501,106.940772152395,260.69212956525001
156,Cherry Cox,2x,NA,0.3116352678063758,1951,14.8789450232984,13.499051435655099,0.96217302782788605,159.517870065213,9.7462810348823705,NA,3.6382118507914099,155.67698970910101,114.049652059583,268.21905246538
466,Chieftain,2x,2x,0.3666085440278989,1966,6.0027455703849704,9.0148410790402096,1.5187481049490601,122.457789966864,10.090689140568101,-51.7020103175469,3.24647929797902,153.82745191875799,117.653271059857,271.571759688763
238,Chinook,3x,NA,0.4566828399226716,1997,3.9228005141880402,10.678032094872901,2.7075045860737599,78.003689941631393,10.454063846017499,-15.780120250996401,2.6798959110691598,153.07861117965001,125.267220436095,278.42916637373702
475,Chiver's Delight,2x,NA,0.3550377165384178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
365,Circassian Apple,2x,NA,0.3003203062810356,NA,6.7597723416203399,12.956475032417201,1.8948137243460399,156.374405226211,11.7935774339823,NA,4.5483913772206996,152.09146651487501,130.68328192382299,282.65114720994501
426,Claudius Herbstapfel,2x,NA,0.3916075963761798,NA,8.0219622536715498,11.358674840614199,1.4454139083689399,116.759574713375,5.6226025201565797,NA,NA,153.14056747837199,87.963175480904596,239.89484582932801
538,Clear Gold,2x,NA,0.35409954133656796,NA,7.16265240149378,14.070723957433399,1.96760469798048,206.01072363074701,8.0460085609259799,-23.8926984276629,3.27032984678043,153.73742896333499,128.18892909297901,281.96003651753898
408,Clear Heart,2x,2x,0.3430878283613206,NA,9.5326118832905102,11.700982516056101,1.3231386523073101,119.565703969021,8.2177676629024798,-47.9298980510642,NA,159.03535507254401,97.0437928735425,253.926506855208
399,Cleopatra,2x,NA,0.36522497251810015,NA,7.58281385708902,12.729538507795899,1.7816866526621,189.14379840203901,9.9337518983152897,-48.009573292484902,NA,153.818956576131,127.451476991878,282.11734568391199
154,Clivia,2x,NA,0.33325120351768317,1961,5.6257957032108301,9.9258753038007193,1.73114292561181,106.915008681416,9.3764312082274301,-41.832879921154401,NA,149.818956576131,110.451476991878,260.48922928722698
15,Co-op 29,2x,NA,0.32088434858420833,2004,8.0561740918842908,9.95066238128382,1.28668612029889,149.585801714589,10.0430025201566,-33.730973514719203,5.7174522415210802,153.966153913688,120.65728271911701,274.66470722012002
508,Coast Apple,2x,NA,0.3518820363140139,NA,3.3544244014357898,12.328473684759,3.8984955986829002,224.18356789758801,8.8468725884031496,-38.6042926952518,NA,153.882058621092,134.73355526976701,288.79511594099603
465,Coat Jersey,2x,2x,0.3706739699025814,NA,NA,NA,NA,NA,NA,NA,13.829151864060901,157.02866005707,NA,NA
456,Coconut Crunch,2x,NA,0.39240362382017363,1982,7.6451022177722603,10.6717544860591,1.3736218013247301,243.42469080244999,10.393940574664599,-21.1867728013796,7.9250628490643598,155.55921648176201,126.28856064427799,281.87934523894597
421,Coe's Golden Drop,2x,NA,0.3407850346840529,1842,NA,NA,NA,NA,NA,NA,NA,156.685783979174,NA,NA
564,Cole,2x,NA,0.3944884576020621,NA,13.359610676096899,12.1072274535438,0.96808350605725402,134.851619912898,7.8922243488924302,NA,4.3253247921671996,153.221710446218,118.19923567648701,271.31106750579499
516,Collet,2x,NA,0.35964330389295324,NA,10.367021947128899,12.0670921139236,1.09821449540069,127.91814604584199,6.35702012565282,NA,NA,152.16020373794501,88.4682935003908,240.33598446790199
367,Collins June,2x,NA,0.3594158674803836,NA,16.615664298926198,11.301967233398999,0.62288179177012604,134.332027851025,3.8975616611490498,NA,NA,152.10810741890501,74.467363460912907,226.382944795398
544,Conrad,2x,NA,0.37834994882680717,1935,7.5075304548353801,9.5409851043066904,1.34050536580514,138.96428351238501,7.5027430421577499,-37.786753807610197,5.7445566422974297,152.870366928485,115.302107730324,268.23531664421898
386,Coombs Wealthy,2x,4x,0.4210321822523786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
446,Cornish Gilliflower,2x,NA,0.3069633448315075,1813,11.399734005085101,14.057227373416399,1.2163691695815799,159.36049997584001,9.5916182786261892,NA,NA,156.930159232927,117.94077215239599,268.42842450043202
134,Cortland,2x,NA,0.37569652401349457,1915,8.7968262809046802,13.077109179465999,1.5241842045796701,243.785047443259,7.8016820902260298,NA,3.9486308179087102,153.13184763040999,114.549001059622,267.60653303275399
92,Cotton Candy,2x,NA,0.3199082673135969,2008,1.9201932156099599,12.380650601843501,6.4017795566374804,378.76601116367601,2.7393208021415401,NA,NA,153.09088968836701,88.263670110821096,240.29825234645699
440,Court Pendu,2x,2x,0.35913157196467155,NA,NA,NA,NA,NA,NA,NA,NA,160.85822837765201,NA,NA
482,Court Royal,3x,3x,0.45672074599143325,NA,NA,NA,NA,NA,NA,NA,5.0762751577018301,154.085378849623,NA,NA
146,Cox's Orange Pippin,2x,NA,0.33275842462378225,1850,NA,NA,NA,NA,NA,NA,NA,154.171076187918,NA,NA
231,Coxs Orange,2x,NA,0.3116447443235662,1958,NA,NA,NA,NA,NA,NA,1.1818190627302501,154.06935282756999,NA,NA
454,Cranzhevoje,2x,NA,0.3772601493499109,NA,4.2561554519361504,13.9571172381627,3.4108625869315201,168.56146367764799,7.61180252015658,NA,3.7001670277027601,154.15939935267301,112.95243249502001,267.09261831664202
447,Creamy Kitaika,2x,NA,0.33927826845077896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,Crimson Beauty,2x,NA,0.35422273606004323,NA,20.443076328895401,10.1154034714326,0.57861471626595096,153.429369760583,2.7311676629024801,NA,2.6019399805691599,150.06396979329301,75.348819293391102,225.40308254620999
472,Crimson Bramley,3x,NA,0.45061786892081424,NA,NA,NA,NA,NA,NA,NA,NA,154.03067277612999,NA,NA
19,Crimson Crisp,2x,NA,0.3420075054016148,2004,11.000625680366699,12.4014086477146,1.0462723812061701,134.22958635374201,11.4838652135379,-23.5344560675602,NA,153.914731665754,110.526349276186,264.55870331485397
473,Crimson King,3x,3x,0.4537830256624086,1934,NA,NA,NA,NA,NA,NA,NA,154.17164626967701,NA,NA
402,Crollon,2x,2x,0.32096016072173156,NA,NA,NA,NA,NA,NA,NA,6.5466980822211696,156.92060458727599,NA,NA
533,Crookston,2x,NA,0.37959137257874986,NA,7.2947034898053298,11.9444431228317,1.59805719419272,164.81436855416101,7.97629149554073,NA,4.0510728502230098,152.670646380107,90.397707357776298,243.296482499549
396,Crow Egg,2x,2x,0.37307152875175315,NA,4.7062078712406201,10.9467306232319,2.16798763280062,86.386100182023199,7.8834336825079001,-49.679287481010299,3.9417504309032498,151.45733731030001,124.201207998917,274.27920577414199
514,Dakota,2x,NA,0.38205526704825443,1965,7.4706067384972101,11.352509256066901,1.5066634113255,212.71859307541101,7.1012368976174898,-50.5494598951041,2.5277966050908498,152.09011007852399,102.609108177552,254.396655967962
451,Damelot,2x,2x,0.3215192752359653,NA,3.0876668990820999,9.9447727446196197,3.17381349362058,63.878500936148299,11.3214312082274,-44.404555535116998,NA,153.538764819112,113.78315446113,267.58358207485702
477,Daux Belan,2x,2x,0.3458075887949661,NA,NA,NA,NA,NA,NA,NA,23.4319573964091,153.077063418775,NA,NA
