 FID  IID       O(HOM)       E(HOM)        N(NM)            F
 512  512        66654     6.29e+04       105524      0.08809
 513  513        68072     6.29e+04       105524       0.1214
 514  514        65208     6.29e+04       105524      0.05416
 515  515        67823     6.29e+04       105524       0.1155
 516  516        67573     6.29e+04       105524       0.1096
 517  517        65660     6.29e+04       105524      0.06477
 521  521        56422     6.29e+04       105524       -0.152
 522  522        84472     6.29e+04       105524       0.5061
 523  523        68375     6.29e+04       105524       0.1285
 524  524        67778     6.29e+04       105524       0.1145
 527  527        71646     6.29e+04       105524       0.2052
 528  528        69504     6.29e+04       105524       0.1549
 529  529        54905     6.29e+04       105524      -0.1876
 530  530        67318     6.29e+04       105524       0.1037
 531  531        75484     6.29e+04       105524       0.2952
 533  533        65468     6.29e+04       105524      0.06026
 536  536        67608     6.29e+04       105524       0.1105
 537  537        69882     6.29e+04       105524       0.1638
 538  538        68158     6.29e+04       105524       0.1234
 540  540        68677     6.29e+04       105524       0.1355
 541  541        69553     6.29e+04       105524       0.1561
 542  542        69706     6.29e+04       105524       0.1597
 543  543        69628     6.29e+04       105524       0.1579
 544  544        65599     6.29e+04       105524      0.06334
 545  545        85881     6.29e+04       105524       0.5392
 546  546        68555     6.29e+04       105524       0.1327
 547  547        67757     6.29e+04       105524        0.114
 548  548        55276     6.29e+04       105524      -0.1788
 549  549        69683     6.29e+04       105524       0.1591
 550  550        68723     6.29e+04       105524       0.1366
 551  551        67578     6.29e+04       105524       0.1098
 552  552        58464     6.29e+04       105524      -0.1041
 553  553        54885     6.29e+04       105524       -0.188
 554  554        67600     6.29e+04       105524       0.1103
 555  555        69636     6.29e+04       105524        0.158
 556  556        73115     6.29e+04       105524       0.2397
 557  557        54649     6.29e+04       105524      -0.1936
 559  559        67405     6.29e+04       105524       0.1057
 560  560        70736     6.29e+04       105524       0.1839
 561  561        70477     6.29e+04       105524       0.1778
 562  562        55364     6.29e+04       105524      -0.1768
 563  563        69620     6.29e+04       105524       0.1577
 564  564        63896     6.29e+04       105524      0.02338
 565  565        68634     6.29e+04       105524       0.1345
 566  566        70648     6.29e+04       105524       0.1818
 567  567        56545     6.29e+04       105524      -0.1491
 568  568        69868     6.29e+04       105524       0.1635
 569  569        69502     6.29e+04       105524       0.1549
 570  570        66993     6.29e+04       105524      0.09604
 571  571        65784     6.29e+04       105524      0.06768
 572  572        67960     6.29e+04       105524       0.1187
 573  573        46449     6.29e+04       105524      -0.3859
 574  574        69625     6.29e+04       105524       0.1578
 575  575        72887     6.29e+04       105524       0.2343
 576  576        66146     6.29e+04       105524      0.07617
 577  577        68075     6.29e+04       105524       0.1214
 578  578        65492     6.29e+04       105524      0.06083
 581  581        69539     6.29e+04       105524       0.1558
 583  583        53638     6.29e+04       105524      -0.2173
 584  584        65175     6.29e+04       105524      0.05339
 586  586        65290     6.29e+04       105524      0.05609
 588  588        64239     6.29e+04       105524      0.03143
 589  589        62977     6.29e+04       105524     0.001822
 590  590        54660     6.29e+04       105524      -0.1933
 592  592        71030     6.29e+04       105524       0.1908
 594  594        73668     6.29e+04       105524       0.2526
 596  596        67748     6.29e+04       105524       0.1138
 599  599        63274     6.29e+04       105524      0.00879
 602  602        66640     6.29e+04       105524      0.08776
 609  609        70526     6.29e+04       105524       0.1789
 610  610        49642     6.29e+04       105524       -0.311
 611  611        68594     6.29e+04       105524       0.1336
 612  612        71543     6.29e+04       105524       0.2028
 614  614        71127     6.29e+04       105524        0.193
 615  615        66259     6.29e+04       105524      0.07882
 616  616        45665     6.29e+04       105524      -0.4043
 617  617        48955     6.29e+04       105524      -0.3271
 620  620        69268     6.29e+04       105524       0.1494
 621  621        69399     6.29e+04       105524       0.1525
 624  624        71524     6.29e+04       105524       0.2023
 628  628        70179     6.29e+04       105524       0.1708
 629  629        67483     6.29e+04       105524       0.1075
 630  630        69784     6.29e+04       105524       0.1615
 632  632        58007     6.29e+04       105524      -0.1148
 634  634        58020     6.29e+04       105524      -0.1145
 638  638        67476     6.29e+04       105524       0.1074
 641  641        50884     6.29e+04       105524      -0.2819
 642  642        61602     6.29e+04       105524     -0.03044
 643  643        58657     6.29e+04       105524     -0.09953
 647  647        66516     6.29e+04       105524      0.08485
 648  648        72565     6.29e+04       105524       0.2268
 649  649        65045     6.29e+04       105524      0.05034
 651  651        47713     6.29e+04       105524      -0.3563
 652  652        69793     6.29e+04       105524       0.1617
 653  653        65643     6.29e+04       105524      0.06437
 654  654        69945     6.29e+04       105524       0.1653
 657  657        55495     6.29e+04       105524      -0.1737
 658  658        59601     6.29e+04       105524     -0.07738
 659  659        65713     6.29e+04       105524      0.06601
 660  660        70338     6.29e+04       105524       0.1745
 662  662        70042     6.29e+04       105524       0.1676
 668  668        66595     6.29e+04       105524       0.0867
 672  672        64591     6.29e+04       105524      0.03969
 673  673        67894     6.29e+04       105524       0.1172
 674  674        70742     6.29e+04       105524        0.184
 675  675        68087     6.29e+04       105524       0.1217
 677  677        70898     6.29e+04       105524       0.1877
 678  678        69143     6.29e+04       105524       0.1465
 679  679        68282     6.29e+04       105524       0.1263
 680  680        65928     6.29e+04       105524      0.07105
 681  681        69652     6.29e+04       105524       0.1584
 682  682        68237     6.29e+04       105524       0.1252
 685  685        59583     6.29e+04       105524      -0.0778
 686  686        65026     6.29e+04       105524      0.04989
 687  687        67381     6.29e+04       105524       0.1051
 688  688        66846     6.29e+04       105524      0.09259
 690  690        66090     6.29e+04       105524      0.07486
 695  695        33806     6.29e+04       105524      -0.6825
 698  698        70354     6.29e+04       105524       0.1749
 700  700        65176     6.29e+04       105524      0.05341
 702  702        70555     6.29e+04       105524       0.1796
 703  703        68435     6.29e+04       105524       0.1299
 704  704        68101     6.29e+04       105524        0.122
 705  705        69029     6.29e+04       105524       0.1438
 706  706        65675     6.29e+04       105524      0.06512
 707  707        68805     6.29e+04       105524       0.1386
 708  708        65595     6.29e+04       105524      0.06324
 709  709        62638     6.29e+04       105524    -0.006131
 710  710        64002     6.29e+04       105524      0.02587
 711  711        68157     6.29e+04       105524       0.1233
 712  712        66108     6.29e+04       105524      0.07528
 713  713        70330     6.29e+04       105524       0.1743
 714  714        65949     6.29e+04       105524      0.07155
 715  715        67768     6.29e+04       105524       0.1142
 716  716        67313     6.29e+04       105524       0.1035
 717  717        67845     6.29e+04       105524        0.116
 718  718        68285     6.29e+04       105524       0.1264
 719  719        67383     6.29e+04       105524       0.1052
 720  720        72397     6.29e+04       105524       0.2228
 722  722        68838     6.29e+04       105524       0.1393
 723  723        68702     6.29e+04       105524       0.1361
 724  724        71156     6.29e+04       105524       0.1937
 725  725        67809     6.29e+04       105524       0.1152
 726  726        64685     6.29e+04       105524      0.04189
 727  727        68244     6.29e+04       105524       0.1254
 728  728        53732     6.29e+04       105524      -0.2151
 729  729        68180     6.29e+04       105524       0.1239
 730  730        72418     6.29e+04       105524       0.2233
 731  731        56480     6.29e+04       105524      -0.1506
 732  732        67449     6.29e+04       105524       0.1067
 733  733        68259     6.29e+04       105524       0.1257
 737  737        65113     6.29e+04       105524      0.05193
 738  738        63070     6.29e+04       105524     0.004004
 739  739        68749     6.29e+04       105524       0.1372
 740  740        70599     6.29e+04       105524       0.1806
 741  741        72230     6.29e+04       105524       0.2189
 742  742        67847     6.29e+04       105524       0.1161
 743  743        69545     6.29e+04       105524       0.1559
 744  744        65885     6.29e+04       105524      0.07005
 745  745        69493     6.29e+04       105524       0.1547
 746  746        68759     6.29e+04       105524       0.1375
